symbol,company_name,sector,isin,dhan_security_id,lot_size,tick_size,yfinance_symbol
WELSPUNLIV,Welspun Living Ltd.,Textiles,INE192B01031,11253,1.0,1.0,WELSPUNLIV.NS
WHIRLPOOL,Whirlpool of India Ltd.,Consumer Durables,INE716A01013,18011,1.0,5.0,WHIRLPOOL.NS
WIPRO,Wipro Ltd.,Information Technology,INE075A01022,3787,1.0,1.0,WIPRO.NS
WOCKPHARMA,Wockhardt Ltd.,Healthcare,INE049B01025,7506,1.0,10.0,WOCKPHARMA.NS
YESBANK,Yes Bank Ltd.,Financial Services,INE528G01035,11915,1.0,1.0,YESBANK.NS
ZFCVINDIA,ZF Commercial Vehicle Control Systems India Ltd.,Automobile and Auto Components,INE342J01019,16915,1.0,100.0,ZFCVINDIA.NS
ZEEL,Zee Entertainment Enterprises Ltd.,Media Entertainment & Publication,INE256A01028,3812,1.0,1.0,ZEEL.NS
ZENTEC,Zen Technologies Ltd.,Capital Goods,INE251B01027,7508,1.0,10.0,ZENTEC.NS
ZENSARTECH,Zensar Technolgies Ltd.,Information Technology,INE520A01027,1076,1.0,5.0,ZENSARTECH.NS
ZYDUSLIFE,Zydus Lifesciences Ltd.,Healthcare,INE010B01027,7929,1.0,5.0,ZYDUSLIFE.NS
ZYDUSWELL,Zydus Wellness Ltd.,Fast Moving Consumer Goods,INE768C01028,17635,1.0,5.0,ZYDUSWELL.NS
ECLERX,eClerx Services Ltd.,Services,INE738I01010,15179,1.0,10.0,ECLERX.NS
