symbol,company_name,sector,isin,dhan_security_id,lot_size,tick_size,yfinance_symbol
CHAMBLFERT,Chambal Fertilizers & Chemicals Ltd.,Chemicals,INE085A01013,637,1.0,5.0,CHAMBLFERT.NS
CHENNPETRO,Chennai Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,INE178A01016,2049,1.0,5.0,CHENNPETRO.NS
CHOICEIN,Choice International Ltd.,Financial Services,INE102B01014,8866,1.0,5.0,CHOICEIN.NS
CHOLAHLDNG,Cholamandalam Financial Holdings Ltd.,Financial Services,INE149A01033,21740,1.0,10.0,CHOLAHLDNG.NS
CHOLAFIN,Cholamandalam Investment and Finance Company Ltd.,Financial Services,INE121A01024,19257,1.0,5.0,CHOLAFIN.NS
CHOLAFIN,Cholamandalam Investment and Finance Company Ltd.,Financial Services,INE121A01024,685,1.0,10.0,CHOLAFIN.NS
CIPLA,Cipla Ltd.,Healthcare,INE059A01026,694,1.0,10.0,CIPLA.NS
CUB,City Union Bank Ltd.,Financial Services,INE491A01021,5701,1.0,1.0,CUB.NS
CLEAN,Clean Science and Technology Ltd.,Chemicals,INE227W01023,5049,1.0,5.0,CLEAN.NS
COALINDIA,Coal India Ltd.,Oil Gas & Consumable Fuels,INE522F01014,20374,1.0,5.0,COALINDIA.NS
COCHINSHIP,Cochin Shipyard Ltd.,Capital Goods,INE704P01025,21508,1.0,10.0,COCHINSHIP.NS
COFORGE,Coforge Ltd.,Information Technology,INE591G01025,11543,1.0,10.0,COFORGE.NS
COHANCE,Cohance Lifesciences Ltd.,Healthcare,INE03QK01018,17945,1.0,5.0,COHANCE.NS
COLPAL,Colgate Palmolive (India) Ltd.,Fast Moving Consumer Goods,INE259A01022,15141,1.0,10.0,COLPAL.NS
CAMS,Computer Age Management Services Ltd.,Financial Services,INE596I01020,342,1.0,5.0,CAMS.NS
CONCORDBIO,Concord Biotech Ltd.,Healthcare,INE338H01029,18060,1.0,10.0,CONCORDBIO.NS
CONCOR,Container Corporation of India Ltd.,Services,INE111A01025,4749,1.0,5.0,CONCOR.NS
COROMANDEL,Coromandel International Ltd.,Chemicals,INE169A01031,739,1.0,10.0,COROMANDEL.NS
CRAFTSMAN,Craftsman Automation Ltd.,Automobile and Auto Components,INE00LO01017,2854,1.0,50.0,CRAFTSMAN.NS
CREDITACC,CreditAccess Grameen Ltd.,Financial Services,INE741K01010,4421,1.0,10.0,CREDITACC.NS
CROMPTON,Crompton Greaves Consumer Electricals Ltd.,Consumer Durables,INE299U01018,17094,1.0,1.0,CROMPTON.NS
CUMMINSIND,Cummins India Ltd.,Capital Goods,INE298A01020,1901,1.0,10.0,CUMMINSIND.NS
CYIENT,Cyient Ltd.,Information Technology,INE136B01020,5748,1.0,5.0,CYIENT.NS
DCMSHRIRAM,DCM Shriram Ltd.,Diversified,INE499A01024,811,1.0,10.0,DCMSHRIRAM.NS
DLF,DLF Ltd.,Realty,INE271C01023,14732,1.0,5.0,DLF.NS
DOMS,DOMS Industries Ltd.,Fast Moving Consumer Goods,INE321T01012,20551,1.0,10.0,DOMS.NS
DABUR,Dabur India Ltd.,Fast Moving Consumer Goods,INE016A01026,772,1.0,5.0,DABUR.NS
DALBHARAT,Dalmia Bharat Ltd.,Construction Materials,INE00R701025,8075,1.0,10.0,DALBHARAT.NS
DATAPATTNS,Data Patterns (India) Ltd.,Capital Goods,INE0IX101010,7358,1.0,10.0,DATAPATTNS.NS
DEEPAKFERT,Deepak Fertilisers & Petrochemicals Corp. Ltd.,Chemicals,INE501A01019,827,1.0,5.0,DEEPAKFERT.NS
DEEPAKNTR,Deepak Nitrite Ltd.,Chemicals,INE288B01029,19943,1.0,10.0,DEEPAKNTR.NS
DELHIVERY,Delhivery Ltd.,Services,INE148O01028,9599,1.0,5.0,DELHIVERY.NS
DEVYANI,Devyani International Ltd.,Consumer Services,INE872J01023,5373,1.0,1.0,DEVYANI.NS
DIVISLAB,Divi's Laboratories Ltd.,Healthcare,INE361B01024,10940,1.0,50.0,DIVISLAB.NS
DIXON,Dixon Technologies (India) Ltd.,Consumer Durables,INE935N01020,21690,1.0,50.0,DIXON.NS
LALPATHLAB,Dr. Lal Path Labs Ltd.,Healthcare,INE600L01024,11654,1.0,10.0,LALPATHLAB.NS
DRREDDY,Dr. Reddy's Laboratories Ltd.,Healthcare,INE089A01031,881,1.0,10.0,DRREDDY.NS
EIDPARRY,E.I.D. Parry (India) Ltd.,Fast Moving Consumer Goods,INE126A01031,916,1.0,5.0,EIDPARRY.NS
EIHOTEL,EIH Ltd.,Consumer Services,INE230A01023,919,1.0,5.0,EIHOTEL.NS
EICHERMOT,Eicher Motors Ltd.,Automobile and Auto Components,INE066A01021,910,1.0,50.0,EICHERMOT.NS
ELECON,Elecon Engineering Co. Ltd.,Capital Goods,INE205B01031,13643,1.0,5.0,ELECON.NS
